Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2007,1,1,0,0,0,0,0,0,0,0,6,1,160.48,0,0.096,1.9,2.976,164.2,100,2,990
2007,1,1,0,30,0,0,0,0,0,0,6,1,160.1,0,0.096,1.9,2.994,164.2,100,2,990
2007,1,1,1,0,0,0,0,0,0,0,6,1,157.9,0,0.096,1.9,3.012,169.1,100,3,990
2007,1,1,1,30,0,0,0,0,0,0,6,1,154.34,0,0.096,1.8,2.968,169.1,100,3,990
2007,1,1,2,0,0,0,0,0,0,0,6,2,149.93,0,0.096,1.7,2.924,176.6,100,3,990
2007,1,1,2,30,0,0,0,0,0,0,6,2,144.99,0,0.096,1.6,2.772,176.6,100,3,990
2007,1,1,3,0,0,0,0,0,0,0,6,2,139.76,0,0.096,1.6,2.622,179,100,4,990
2007,1,1,3,30,0,0,0,0,0,0,6,2,134.34,0,0.096,1.5,2.507,179,100,4,990
2007,1,1,4,0,0,0,0,0,0,0,6,2,128.84,0,0.096,1.4,2.393,176.8,100,4,990
2007,1,1,4,30,0,0,0,0,0,0,6,2,123.31,0,0.096,1.2,2.261,176.8,100,4,990
2007,1,1,5,0,0,0,0,0,0,0,6,2,117.8,0,0.096,1.2,2.131,173.2,100,4,990
2007,1,1,5,30,0,0,0,0,0,0,7,2,112.33,0,0.096,1.1,2.013,173.2,100,3,990
2007,1,1,6,0,0,0,0,0,0,0,4,2,106.96,0,0.096,1,1.895,170.9,100,3,990
2007,1,1,6,30,0,0,0,0,0,0,4,1,101.7,0,0.096,0.9,1.697,170.9,100,3,990
2007,1,1,7,0,0,0,0,0,0,0,7,1,96.61,0,0.096,0.8,1.5,166.8,100,3,990
2007,1,1,7,30,0,0,0,0,0,0,3,1,91.71,0,0.096,0.8,1.361,166.8,100,3,990
2007,1,1,8,0,20,217,31,20,217,31,0,2,87.05,0,0.096,0.9,1.223,171.4,100,3,990
2007,1,1,8,30,38,429,93,38,429,93,0,2,82.69,0,0.096,0.8,1.19,171.4,100,3,990
2007,1,1,9,0,73,165,106,50,578,163,3,2,78.68,0,0.096,0.8,1.157,175,100,4,990
2007,1,1,9,30,103,177,149,58,664,230,3,2,75.07,4,0.096,0.7,1.15,175,100,4,990
2007,1,1,10,0,120,256,199,65,723,289,2,4,71.94,0,0.096,0.7,1.143,175.2,100,5,990
2007,1,1,10,30,125,376,258,69,763,338,2,4,69.35,0,0.096,0.7,1.145,175.2,100,5,990
